Ano,M̻s,Casos
2013,12,0
2014,01,0
2014,02,0
2014,03,3
2014,04,4
2014,05,2
2014,06,1
2014,07,1
2014,08,0
2014,09,2
2014,10,0
2014,11,0
2014,12,0
2015,01,1
2015,02,12
2015,03,15
2015,04,2
2015,05,25
2015,06,16
2015,07,5
2015,08,2
2015,09,1
2015,10,0
2015,11,1
2015,12,2
2016,01,2
2016,02,1
2016,03,0
2016,04,71
2016,05,95
2016,06,19
2016,07,0
2016,08,0
2016,09,0
2016,10,0
2016,11,0
2016,12,0
2017,01,0
2017,02,1
2017,03,21
2017,04,113
2017,05,0
2017,06,1
2017,07,0
2017,08,0
2017,09,0
2017,10,0
2017,11,0
2017,12,0
2018,01,0
2018,02,0
2018,03,0
2018,04,0
2018,05,0
2018,06,0
2018,07,0
2018,08,0
2018,09,0
2018,10,0
2018,11,0
2018,12,0
2019,01,0
2019,02,0
2019,03,0
2019,04,0
2019,05,0
2019,06,0
2019,07,0
2019,08,0
2019,09,0
2019,10,0
2019,11,0
2019,12,0
2020,01,0
2020,02,0
2020,03,0
2020,04,0
2020,05,0
2020,06,0
2020,07,0
2020,08,0
2020,09,0
2020,10,0
2020,11,0
2020,12,0
2021,01,1
2021,02,1
2021,03,0
2021,04,1
2021,05,4
2021,06,6
2021,07,1
2021,08,2
2021,09,2
2021,10,0
2021,11,1
2021,12,0
2022,01,2
2022,02,1
2022,03,4
2022,04,4
2022,05,6
2022,06,7
2022,07,3
2022,08,0
2022,09,0
2022,10,1
2022,11,3
2022,12,0
2023,01,0
2023,02,1
2023,03,3
2023,04,0
2023,05,0
2023,06,0
2023,07,2
2023,08,0
2023,09,0
2023,10,0
2023,11,0
2023,12,3
2024,01,0
2024,02,3
2024,03,3
2024,04,5
2024,05,3
2024,06,3
2024,07,3
2024,08,4
2024,09,7
